TERMINAL  #,COMMON NAME,Station Name,Lattitude,Longitude,Install Date
30093,Loring South,West 15th Street & Willow,44.96801,-93.2836,8/12/11
30094,Bryant Square Park,West 32nd Street & Bryant Ave. S,44.94478,-93.29038,7/17/11
30095,Amelia Flower Shoppe,West 36th Street & Bryant Ave. S,44.93775,-93.29122,7/17/11
30096,Sheridan School,University Ave. NE & 12th Ave. NE,44.999894,-93.26296,7/18/11
30097,K-Mart,Nicollet Ave. & Lake Street,44.94769,-93.27808,7/18/11
30098,Elsie's,Marshall Street NE & 8th Ave. NE,44.99611,-93.26774,7/18/11
30099,Kowalski's Market,Kowalski's Market,44.940135,-93.15311,8/12/11
30100,At Home Apartments,Grand Ave. & Lexington Ave.,44.940127,-93.146957,9/18/11
30101,Car-X,Victoria Street N. & University Ave.,44.956065,-93.13656,8/19/11
30102,Concordia College,Marshall Avenue & Syndicate Street,44.948634,-93.154065,8/18/11
30103,Mississippi Market,Hague Ave. & Dale Street,44.945736,-93.12661,8/18/11
30104,Logan Park,Logan Park,44.99882,-93.25276,9/1/11
30105,KFC,Lexington Ave. N & University Ave.,44.955977,-93.14646,8/18/11
30106,Live Green Apts.,Dale Street & Grand Ave.,44.939779,-93.126261,9/23/11
30107,St. Paul Midtown Business Center,Dale Street N. & Sherburne Ave.,44.956481,-93.12643,8/26/11
30108,St. Anthony Park,Carter Ave. & Como Ave.,44.981343,-93.193977,8/26/11
30109,Univ. Printing Svcs,Como Ave. SE & 29th Ave. SE,44.987934,-93.212892,8/26/11
30110,Van Cleve Park,Como Ave. SE & 14th Ave. SE,44.9878,-93.23169,8/26/11
30111,St. Paul Police,St. Paul Police Western District,44.953527,-93.156984,9/23/11
30112,2nd Precinct Police,Central Ave. NE & 20th Ave NE,45.00879,-93.24721,9/23/11
30113,U of M St. Paul Student Ctr,U of M St. Paul Student Center,44.984527,-93.185029,9/30/11
30114,St. Paul Fire,Snelling Ave. N & Laurel Ave.,44.944828,-93.16713,9/23/11
30115,UofM St. Paul Campus,U of M St. Paul Campus,44.980717,-93.186961,9/30/11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
